Request_ID,Request_Time,Status,Passengers,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon,Exp_Pickup_Time,Exp_Dropoff_Time,Act_Pickup_Time,Act_Dropoff_Time
R215005,2025-10-01 20:28:00,COMPLETED,1,40.79846957,-73.96719318,40.8127889,-73.95739172,2025-10-01 20:28:47,2025-10-01 20:32:08,2025-10-01 20:28:47,2025-10-01 20:32:07
R215012,2025-10-01 20:30:00,COMPLETED,1,40.80995162,-73.96056477,40.812241,-73.954409,2025-10-01 20:31:21,2025-10-01 20:32:38,2025-10-01 20:31:21,2025-10-01 20:32:38
R215011,2025-10-01 20:30:00,COMPLETED,1,40.81668821,-73.95786747,40.807819,-73.960464,2025-10-01 20:31:56,2025-10-01 20:33:53,2025-10-01 20:31:56,2025-10-01 20:33:53
R214998,2025-10-01 20:26:00,COMPLETED,1,40.8180764,-73.95901412,40.8004385,-73.9649993,2025-10-01 20:28:54,2025-10-01 20:33:25,2025-10-01 20:28:54,2025-10-01 20:33:24
R215007,2025-10-01 20:29:00,COMPLETED,1,40.8138508,-73.9616062,40.80173111,-73.96511078,2025-10-01 20:29:51,2025-10-01 20:34:00,2025-10-01 20:29:51,2025-10-01 20:34:00
R215015,2025-10-01 20:31:00,COMPLETED,1,40.8080476,-73.96389339,40.79988656,-73.96198701,2025-10-01 20:31:27,2025-10-01 20:34:22,2025-10-01 20:31:27,2025-10-01 20:34:22
R215014,2025-10-01 20:31:00,COMPLETED,1,40.80798136,-73.96372408,40.82052742,-73.95420894,2025-10-01 20:31:56,2025-10-01 20:34:57,2025-10-01 20:31:56,2025-10-01 20:34:54
R214999,2025-10-01 20:26:00,COMPLETED,3,40.82179298,-73.95559296,40.8050976,-73.9642371,2025-10-01 20:30:14,2025-10-01 20:34:27,2025-10-01 20:30:20,2025-10-01 20:35:28
R215016,2025-10-01 20:32:00,COMPLETED,1,40.8093612,-73.9598926,40.81678768,-73.95277094,2025-10-01 20:32:58,2025-10-01 20:35:04,2025-10-01 20:32:58,2025-10-01 20:35:09
R215013,2025-10-01 20:31:00,COMPLETED,1,40.81790944,-73.95872276,40.8084695,-73.9579298,2025-10-01 20:33:55,2025-10-01 20:35:57,2025-10-01 20:33:55,2025-10-01 20:35:57
